DAT_YER	dst_num	dst_tye	DISTRICTNAME	sch_num	schoolname	gr_kg	gr_01	gr_02	gr_03	gr_04	gr_05	gr_06	gr_07	gr_08	gr_09	gr_10	gr_11	gr_12	tot_01_06	tot_07_12	tot_kg_12	free_meal_elg	red_meal_elg	free_red_meals	lep_srv	county	county_name	eco_dev
23-24	270	31	Hopkins Public School District	817	Chesterton Academy of the Twin Cities	0	0	0	0	0	0	0	0	0	52	35	38	40	0	165	165	0	8	8	0	27	Hennepin                                     	11
23-24	270	31	Hopkins Public School District	818	French Academie	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	27	Hennepin                                     	11
23-24	271	31	Bloomington Public School District	4	Nativity of Mary	29	27	38	33	35	36	31	29	30	0	0	0	0	200	59	288	0	24	24	32	27	Hennepin                                     	11
23-24	271	31	Bloomington Public School District	21	Bloomington Lutheran	15	18	27	20	15	40	24	31	29	0	0	0	0	144	60	219	0	13	13	0	27	Hennepin                                     	11
23-24	271	31	Bloomington Public School District	31	Ramalynn Montessori Academy	16	15	13	9	6	10	8	5	6	0	0	0	0	61	11	88	0	0	0	0	27	Hennepin                                     	11
23-24	271	31	Bloomington Public School District	702	Hand in Hand Christian Montessori	5	8	7	3	3	5	1	0	0	0	0	0	0	27	0	32	0	0	0	0	27	Hennepin                                     	11
23-24	271	31	Bloomington Public School District	704	United Christian Academy	23	40	32	19	28	25	34	31	30	45	30	30	27	178	193	394	0	0	0	7	27	Hennepin                                     	11
23-24	272	31	Eden Prairie Public School District	25	Primrose School of Eden Prairie	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	27	Hennepin                                     	11
23-24	272	31	Eden Prairie Public School District	26	Breakaway Academy West	0	0	0	0	44	59	66	64	68	0	0	0	0	169	132	301	0	0	0	0	27	Hennepin                                     	11
23-24	273	31	Edina Public School District	1	Avail Academy (Edina K-8 Campus)	23	24	18	27	20	20	25	20	18	0	0	0	0	134	38	195	0	0	0	0	27	Hennepin                                     	11
23-24	273	31	Edina Public School District	3	Golden Years Montessori	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	27	Hennepin                                     	11
23-24	273	31	Edina Public School District	7	Our Lady of Grace	96	99	81	80	81	88	75	66	67	0	0	0	0	504	133	733	0	0	0	0	27	Hennepin                                     	11
23-24	276	31	Minnetonka Public School District	4	St. John the Baptist Catholic Montessori	7	7	10	7	6	6	4	8	5	0	0	0	0	40	13	60	0	11	11	0	27	Hennepin                                     	11
23-24	276	31	Minnetonka Public School District	6	Our Savior Lutheran	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	27	Hennepin                                     	11
23-24	276	31	Minnetonka Public School District	8	St. Therese	40	44	36	39	37	25	15	18	12	0	0	0	0	196	30	266	0	10	10	3	27	Hennepin                                     	11
23-24	277	31	Westonka Public School District	3	Our Lady of the Lake	21	22	14	14	14	13	11	9	10	0	0	0	0	88	19	128	0	17	17	0	27	Hennepin                                     	11
23-24	278	31	Orono Public School District	1	Holy Name of Jesus	57	50	59	63	49	48	31	0	0	0	0	0	0	300	0	357	0	7	7	0	27	Hennepin                                     	11
23-24	278	31	Orono Public School District	4	Children's Workshop Montessori	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	27	Hennepin                                     	11
