DISTRICTNAME,schoolname,gr_kg,gr_01,gr_02,gr_03,gr_04,gr_05,gr_06,tot_01_06,tot_07_12,tot_kg_12,free_meal_elg,red_meal_elg,free_red_meals,lep_srv
White Bear Lake School District,Magnuson Christian School,16.0,25.0,27.0,18.0,23.0,13.0,10.0,116.0,12.0,144.0,0.0,17.0,17.0,0.0
White Bear Lake School District,Liberty Classical Academy,0.0,0.0,0.0,41.0,41.0,34.0,42.0,158.0,139.0,297.0,0.0,0.0,0.0,0.0
Saint Paul Public Schools,Cretin-Derham Hall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.0,917.0,0.0,79.0,79.0,20.0
Saint Paul Public Schools,Highland Catholic,35.0,36.0,48.0,36.0,52.0,46.0,45.0,263.0,93.0,391.0,0.0,23.0,23.0,17.0
Saint Paul Public Schools,Holy Spirit School,24.0,17.0,22.0,18.0,24.0,21.0,27.0,129.0,53.0,206.0,0.0,24.0,24.0,0.0
Saint Paul Public Schools,Jean Lyle Children’s Center,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Saint Paul Public Schools,Maternity of Mary/St. Andrew,12.0,7.0,12.0,14.0,7.0,9.0,19.0,68.0,24.0,104.0,0.0,45.0,45.0,34.0
Saint Paul Public Schools,Nativity of Our Lord,70.0,80.0,84.0,67.0,88.0,87.0,72.0,478.0,137.0,685.0,0.0,20.0,20.0,0.0
Saint Paul Public Schools,St. Agnes,37.0,43.0,50.0,50.0,47.0,49.0,50.0,289.0,469.0,795.0,0.0,190.0,190.0,11.0
Saint Paul Public Schools,St. Paul Academy - Summit (Middle),0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,160.0,234.0,0.0,0.0,0.0,0.0
Saint Paul Public Schools,St. Thomas More Catholic School,32.0,28.0,31.0,34.0,25.0,33.0,32.0,183.0,58.0,273.0,0.0,13.0,13.0,2.0
Saint Paul Public Schools,St. Pascal Regional Catholic School,13.0,8.0,8.0,16.0,15.0,15.0,16.0,78.0,20.0,111.0,0.0,75.0,75.0,19.0
Saint Paul Public Schools,St. Paul Academy - Summit (Lower),31.0,40.0,38.0,41.0,48.0,46.0,0.0,213.0,0.0,244.0,0.0,0.0,0.0,0.0
Saint Paul Public Schools,St. Paul Academy - Summit (Upper),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,412.0,0.0,0.0,0.0,0.0
Saint Paul Public Schools,St. Peter Claver Catholic School,11.0,10.0,16.0,13.0,11.0,11.0,7.0,68.0,10.0,89.0,0.0,72.0,72.0,0.0
Saint Paul Public Schools,"Children's Center Montessori, Inc.",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Saint Paul Public Schools,Sunny Hollow Montessori,19.0,12.0,11.0,13.0,13.0,9.0,12.0,70.0,18.0,107.0,0.0,10.0,10.0,0.0
Saint Paul Public Schools,Cathedral Hill Montessori School,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0
